fromNode	toNode	weight	direction	fromAltName	toAltName
MMT00000149	MMT00000283	0.0642411529955887	undirected	Ak2	2810043G22Rik
MMT00000149	MMT00000550	0.153319983918397	undirected	Ak2	NA
MMT00000149	MMT00001190	0.0836532405286477	undirected	Ak2	NA
MMT00000149	MMT00001555	0.0863118717912609	undirected	Ak2	Tle1
MMT00000149	MMT00002022	0.0581943168759919	undirected	Ak2	3110050K21Rik
MMT00000149	MMT00002304	0.0767838253183221	undirected	Ak2	Mkrn2
MMT00000149	MMT00002597	0.0561974074968068	undirected	Ak2	NA
MMT00000149	MMT00003530	0.0898001743095259	undirected	Ak2	AB041550
MMT00000149	MMT00003950	0.104788410056867	undirected	Ak2	AB041803
MMT00000149	MMT00003980	0.0750423465010941	undirected	Ak2	NA
MMT00000149	MMT00004086	0.0913586062353866	undirected	Ak2	Cdkn1b
MMT00000149	MMT00004142	0.119922222561889	undirected	Ak2	Ddx6
MMT00000149	MMT00004888	0.0690110788579327	undirected	Ak2	Prkaa2
MMT00000149	MMT00004979	0.0635278771147984	undirected	Ak2	1700024P16Rik
MMT00000149	MMT00005744	0.178228733461315	undirected	Ak2	Cwf19l2
MMT00000149	MMT00005990	0.0462520230218849	undirected	Ak2	1810015C04Rik
MMT00000149	MMT00006144	0.0808284605768301	undirected	Ak2	Pip5k1b
MMT00000149	MMT00006263	0.0740789031621107	undirected	Ak2	Jarid1a
MMT00000149	MMT00006429	0.0407853778479601	undirected	Ak2	NA
MMT00000149	MMT00006538	0.0772638686166475	undirected	Ak2	B230208H17Rik
MMT00000149	MMT00006662	0.0868443500070248	undirected	Ak2	4921505C17Rik
MMT00000149	MMT00006957	0.0580454499300269	undirected	Ak2	5730497N03Rik
MMT00000149	MMT00007272	0.0568056834854897	undirected	Ak2	Hsd11b1
MMT00000149	MMT00007407	0.090917615882088	undirected	Ak2	Zfp307
MMT00000149	MMT00007435	0.0770736954900555	undirected	Ak2	Opa1
MMT00000149	MMT00007440	0.135613261724977	undirected	Ak2	Ash1l
MMT00000149	MMT00007878	0.0552339842647974	undirected	Ak2	NA
MMT00000149	MMT00008036	0.111634595833309	undirected	Ak2	Gan
MMT00000149	MMT00009295	0.0876390865086722	undirected	Ak2	3100004P22Rik
MMT00000149	MMT00009359	0.0877597483250635	undirected	Ak2	Mnab
MMT00000149	MMT00009945	0.0736246807126443	undirected	Ak2	NA
MMT00000149	MMT00010174	0.0669624870906942	undirected	Ak2	4932703L02Rik
MMT00000149	MMT00010351	0.103433505724814	undirected	Ak2	Cadps2
