nodeName	altName	nodeAttr[nodesPresent, ]
MMT00000149	Ak2	brown
MMT00000283	2810043G22Rik	brown
MMT00000550	NA	brown
MMT00000701	V1rc13	brown
MMT00001190	NA	brown
MMT00001555	Tle1	brown
MMT00002022	3110050K21Rik	brown
MMT00002304	Mkrn2	brown
MMT00002597	NA	brown
MMT00003530	AB041550	brown
MMT00003950	AB041803	brown
MMT00003980	NA	brown
MMT00004086	Cdkn1b	brown
MMT00004142	Ddx6	brown
MMT00004888	Prkaa2	brown
MMT00004979	1700024P16Rik	brown
MMT00005744	Cwf19l2	brown
MMT00005990	1810015C04Rik	brown
MMT00006144	Pip5k1b	brown
MMT00006263	Jarid1a	brown
MMT00006429	NA	brown
MMT00006538	B230208H17Rik	brown
MMT00006662	4921505C17Rik	brown
MMT00006957	5730497N03Rik	brown
MMT00007272	Hsd11b1	brown
MMT00007407	Zfp307	brown
MMT00007435	Opa1	brown
MMT00007440	Ash1l	brown
MMT00007878	NA	brown
MMT00008036	Gan	brown
MMT00009295	3100004P22Rik	brown
MMT00009359	Mnab	brown
MMT00009945	NA	brown
MMT00010174	4932703L02Rik	brown
MMT00010351	Cadps2	brown
MMT00010888	E030025D05Rik	brown
MMT00010910	Anp32b	brown
MMT00011143	Hdac1	brown
MMT00011445	4930431B09Rik	brown
MMT00011731	2310058J06Rik	brown
MMT00011790	Carkl	brown
MMT00011900	1110055L24Rik	brown
MMT00011968	Atp6v0a2	brown
MMT00012128	Cpd	brown
MMT00012280	9530058O11Rik	brown
MMT00012401	4932417D18Rik	brown
MMT00012409	2810455B10Rik	brown
MMT00012891	Nek7	brown
MMT00013033	Cpeb1	brown
MMT00013096	BC031748	brown
MMT00013656	2610529H08Rik	brown
MMT00013815	Daam1	brown
MMT00013831	Foxp1	brown
MMT00014327	Frag1	brown
MMT00014634	NA	brown
MMT00014725	Eprs	brown
MMT00014928	Ski	brown
MMT00016194	AI316785	brown
MMT00016725	Cox7b	brown
MMT00017539	2610510D13Rik	brown
MMT00017636	Sfrs5	brown
MMT00018346	2900054P12Rik	brown
MMT00018639	D530025C17Rik	brown
MMT00019118	A330080J22Rik	brown
MMT00019132	NA	brown
MMT00019497	Uox	brown
MMT00019554	9430067K14Rik	brown
MMT00019943	NA	brown
MMT00020565	Gclm	brown
MMT00020566	C530009C10Rik	brown
MMT00020651	Kdr	brown
MMT00020843	9030420J04Rik	brown
MMT00021077	BC027174	brown
MMT00021725	Nr2c2	brown
MMT00021925	Acvrinp1	brown
MMT00022137	Mbd3l1	brown
MMT00022223	Styx	brown
MMT00022622	5830416A07Rik	brown
MMT00022665	Cyfip2	brown
MMT00023085	NA	brown
MMT00023162	Fvt1	brown
MMT00023212	5730496F10Rik	brown
MMT00023406	Col12a1	brown
MMT00023455	D1Bwg0212e	brown
MMT00023638	Usp40	brown
MMT00024043	9430025M21Rik	brown
MMT00024332	D030015G18Rik	brown
MMT00024533	Shprh	brown
MMT00024618	2410195B05Rik	brown
MMT00024811	Mitf	brown
MMT00025239	0610011L13Rik	brown
MMT00025271	Mef2c	brown
MMT00025321	Sybl1	brown
MMT00025851	Enpp2	brown
MMT00026215	4930485B16Rik	brown
MMT00026361	Tcof1	brown
MMT00026530	Nolc1	brown
MMT00026541	A330015D16Rik	brown
MMT00027108	9630025I22Rik	brown
MMT00027676	Nfatc1	brown
MMT00028649	2210401K01Rik	brown
MMT00028983	3526402H21Rik	brown
MMT00029096	Nr5a2	brown
MMT00029361	5730521P14Rik	brown
